species,presence_categories,origin_categories,seasonal_categories
Kleinothraupis reyi,1,1,1
Knipolegus aterrimus,1,1,1
Knipolegus cabanisi,1,1,1
Knipolegus cyanirostris,1,1,"1, 3"
Knipolegus franciscanus,1,1,1
Knipolegus hudsoni,1,1,3
Knipolegus lophotes,1,1,1
Knipolegus nigerrimus,1,1,1
Knipolegus orenocensis,1,1,1
Knipolegus poecilocercus,1,1,1
Knipolegus poecilurus,1,1,1
Knipolegus sclateri,1,1,1
Knipolegus signatus,1,1,1
Lafresnaya lafresnayi,1,1,1
Lampornis amethystinus,1,1,1
Lampornis calolaemus,1,1,1
Lampornis castaneoventris,1,1,1
Lampornis cinereicauda,1,1,1
Lampornis clemenciae,1,1,"1, 2"
Lampornis hemileucus,1,1,1
Lampornis sybillae,1,1,1
Lampornis viridipallens,1,1,1
Lamprolaima rhami,1,1,1
Lampropsar tanagrinus,1,1,1
Lamprospiza melanoleuca,1,1,1
Laniisoma buckleyi,1,1,1
Laniisoma elegans,"4, 3, 1",1,1
Lanio aurantius,1,1,1
Lanio fulvus,1,1,1
Lanio leucothorax,1,1,1
Lanio versicolor,1,1,1
Laniocera hypopyrra,1,1,1
Laniocera rufescens,1,1,1
Lanius ludovicianus,1,1,"1, 3"
Larus atricilla,1,1,"1, 3"
Larus cirrocephalus,1,1,"1, 3"
Larus delawarensis,1,1,3
Larus dominicanus,1,1,1
Larus fuscus,1,1,3
Larus maculipennis,1,1,"3, 1"
Larus modestus,1,1,3
Larus philadelphia,1,1,3
Larus pipixcan,1,1,"4, 3"
Larus serranus,1,1,1
Larus smithsonianus,1,1,3
Laterallus albigularis,1,1,1
Laterallus exilis,1,1,1
Laterallus flaviventer,1,1,1
Laterallus jamaicensis,1,1,"3, 1"
Laterallus leucopyrrhus,1,1,1
Laterallus melanophaius,1,1,1
Laterallus ruber,1,1,1
Laterallus xenopterus,"1, 3",1,1
Lathrotriccus euleri,1,1,"1, 2"
Lathrotriccus griseipectus,"1, 4",1,1
Legatus leucophaius,1,1,"4, 2, 1"
Leiothlypis celata,1,1,3
Leiothlypis crissalis,1,1,4
Leiothlypis peregrina,1,1,"4, 3"
Leiothlypis ruficapilla,1,1,3
Leiothlypis virginiae,1,1,4
Leistes bellicosus,1,1,1
Leistes militaris,1,1,1
Leistes superciliaris,1,1,"1, 3"
Lepidocolaptes affinis,1,1,1
Lepidocolaptes albolineatus,1,1,1
Lepidocolaptes angustirostris,1,1,1
Lepidocolaptes duidae,1,1,1
Lepidocolaptes falcinellus,1,1,1
Lepidocolaptes fatimalimae,1,1,1
Lepidocolaptes fuscicapillus,1,1,1
Lepidocolaptes lacrymiger,1,1,1
Lepidocolaptes leucogaster,1,1,1
Lepidocolaptes neglectus,1,1,1
Lepidocolaptes souleyetii,1,1,1
Lepidocolaptes squamatus,1,1,1
Lepidothrix coeruleocapilla,1,1,1
Lepidothrix coronata,1,1,1
Lepidothrix iris,1,1,1
Lepidothrix isidorei,1,1,1
Lepidothrix nattereri,1,1,1
Lepidothrix serena,1,1,1
Lepidothrix suavissima,1,1,1
Lepidothrix vilasboasi,1,1,1
Leptasthenura andicola,1,1,1
Leptasthenura setaria,1,1,1
Leptasthenura striolata,1,1,1
Leptodon cayanensis,1,1,1
Leptodon forbesi,1,1,1
Leptopogon albidiventer,1,1,1
Leptopogon amaurocephalus,1,1,1
Leptopogon rufipectus,1,1,1
Leptopogon superciliaris,1,1,1
Leptopogon taczanowskii,1,1,1
Leptosittaca branickii,1,1,1
Leptotila battyi,1,1,1
Leptotila cassinii,1,1,1
Leptotila jamaicensis,1,1,1
Leptotila megalura,1,1,1
Leptotila ochraceiventris,"1, 3",1,1
Leptotila pallida,1,1,1
Leptotila plumbeiceps,1,1,1
Leptotila rufaxilla,1,1,1
Leptotila verreauxi,1,1,1
Leptotrygon veraguensis,1,1,1
Lesbia nuna,1,1,1
Lessonia oreas,1,1,1
Lessonia rufa,1,1,3
Leucippus chlorocercus,1,1,1
Leucippus fallax,1,1,1
Leucippus taczanowskii,1,1,1
Leucocarbo bougainvilliorum,1,1,3
Leucochloris albicollis,1,1,1
Leuconotopicus fumigatus,1,1,1
Leuconotopicus stricklandi,1,1,1
Leuconotopicus villosus,1,1,1
Leucopternis kuhli,1,1,1
Leucopternis melanops,1,1,1
Leucopternis semiplumbeus,1,1,1
Limnoctites rectirostris,1,1,1
Limnodromus griseus,1,1,3
Limnodromus scolopaceus,1,1,3
Limnornis curvirostris,1,1,1
Limnothlypis swainsonii,1,1,"4, 3"
Limosa fedoa,1,1,3
Limosa haemastica,1,1,"3, 4"
Liosceles thoracicus,1,1,1
Lipaugus ater,1,1,1
Lipaugus conditus,"1, 3",1,1
Lipaugus fuscocinereus,1,1,1
Lipaugus lanioides,"1, 4, 3",1,1
Lipaugus streptophorus,1,1,1
Lipaugus unirufus,1,1,1
Lipaugus uropygialis,1,1,1
Lipaugus vociferans,1,1,1
Lochmias nematura,1,1,1
Lophonetta specularioides,1,1,1
Lophornis adorabilis,1,1,1
Lophornis chalybeus,1,1,1
Lophornis delattrei,"3, 1",1,1
Lophornis gouldii,1,1,1
Lophornis helenae,1,1,1
Lophornis magnificus,1,1,1
Lophornis ornatus,"3, 1",1,1
Lophornis pavoninus,"1, 3",1,1
Lophornis stictolophus,1,1,1
Lophornis verreauxii,1,1,1
Lophospingus griseocristatus,1,1,1
Lophostrix cristata,1,1,1
Lophotriccus eulophotes,1,1,1
Lophotriccus galeatus,1,1,1
Lophotriccus pileatus,1,1,1
Lophotriccus vitiosus,1,1,1
Loxia curvirostra,1,1,1
Lurocalis rufiventris,1,1,1
Lurocalis semitorquatus,1,1,1
Machaeropterus deliciosus,1,1,1
Machaeropterus eckelberryi,1,1,1
Machaeropterus pyrocephalus,1,1,1
Machaeropterus regulus,1,1,1
Machaeropterus striolatus,1,1,1
Machetornis rixosa,1,1,1
Mackenziaena leachii,1,1,1
Mackenziaena severa,1,1,1
Macroagelaius imthurni,1,1,1
Macroagelaius subalaris,4,1,1
Macronectes giganteus,1,1,1
Macronectes halli,1,1,1
Macropsalis forcipata,1,1,1
Malacoptila fulvogularis,1,1,1
Malacoptila fusca,1,1,1
Malacoptila minor,1,1,1
Malacoptila mystacalis,1,1,1
Malacoptila panamensis,1,1,1
Malacoptila rufa,1,1,1
Malacoptila semicincta,1,1,1
Malacoptila striata,1,1,1
Manacus aurantiacus,1,1,1
Manacus candei,1,1,1
Manacus manacus,1,1,1
Manacus vitellinus,1,1,1
Mareca americana,1,1,3
Mareca sibilatrix,1,1,3
Mareca strepera,1,1,3
Margarornis bellulus,"3, 1",1,1
Margarornis rubiginosus,1,1,1
Margarornis squamiger,1,1,1
Margarornis stellatus,1,1,1
Maschalethraupis surinama,1,1,1
Masius chrysopterus,1,1,1
Mazaria propinqua,1,1,1
Mecocerculus calopterus,1,1,1
Mecocerculus hellmayri,1,1,1
Mecocerculus leucophrys,1,1,1
Mecocerculus minor,1,1,1
Mecocerculus poecilocercus,1,1,1
Mecocerculus stictopterus,1,1,1
Megaceryle alcyon,1,1,3
Megaceryle torquata,1,1,1
Megarynchus pitangua,1,1,1
Megascops albogularis,1,1,1
Megascops asio,1,1,1
Megascops atricapilla,1,1,1
Megascops barbarus,1,1,1
Megascops choliba,1,1,1
Megascops clarkii,1,1,1
Megascops colombianus,1,1,1
Megascops cooperi,1,1,1
Megascops guatemalae,1,1,1
Megascops ingens,1,1,1
Megascops kennicottii,1,1,1
Megascops koepckeae,1,1,1
Megascops marshalli,1,1,1
Megascops petersoni,1,1,1
Megascops roboratus,1,1,1
Megascops sanctaecatarinae,1,1,1
Megascops trichopsis,1,1,1
Megascops vermiculatus,1,1,1
Megascops watsonii,1,1,1
Megastictus margaritatus,"1, 3",1,1
Megaxenops parnaguae,1,1,1
Melanerpes aurifrons,1,1,1
Melanerpes cactorum,1,1,1
Melanerpes candidus,1,1,1
Melanerpes chrysauchen,1,1,1
Melanerpes cruentatus,1,1,1
Melanerpes flavifrons,1,1,1
Melanerpes formicivorus,1,1,1
Melanerpes hoffmannii,1,1,1
Melanerpes pucherani,1,1,1
Melanerpes pulcher,1,1,1
Melanerpes pygmaeus,1,1,1
Melanerpes rubricapillus,1,1,1
Melanopareia elegans,1,1,1
Melanopareia maximiliani,1,1,1
Melanopareia torquata,1,1,1
Melanoptila glabrirostris,1,1,1
Melanospiza bicolor,1,1,1
Melanotis caerulescens,1,1,1
Melanotis hypoleucus,1,1,1
Meleagris gallopavo,1,1,1
Meleagris ocellata,"1, 4",1,1
Melospiza georgiana,1,1,3
Melospiza lincolnii,1,1,3
Melozone albicollis,1,1,1
Melozone biarcuata,1,1,1
Melozone cabanisi,1,1,1
Melozone fusca,1,1,1
Melozone kieneri,1,1,1
Melozone leucotis,1,1,1
Melozone occipitalis,1,1,1
Merganetta armata,1,1,1
Mergus octosetaceus,"1, 4",1,1
Mergus serrator,1,1,3
Merulaxis ater,1,1,1
Merulaxis stresemanni,"1, 3, 4",1,1
Mesembrinibis cayennensis,1,1,1
Metallura aeneocauda,1,1,1
Metallura eupogon,1,1,1
Metallura theresiae,1,1,1
Metallura tyrianthina,1,1,1
Metopothrix aurantiaca,1,1,1
Metriopelia ceciliae,1,1,1
Metriopelia melanoptera,1,1,1
Micrastur buckleyi,1,1,1
Micrastur gilvicollis,1,1,1
Micrastur mintoni,1,1,1
Micrastur mirandollei,1,1,1
Micrastur plumbeus,"4, 1, 3",1,1
Micrastur ruficollis,1,1,1
Micrastur semitorquatus,1,1,1
Micrathene whitneyi,1,1,4
Microbates cinereiventris,1,1,1
Microbates collaris,1,1,1
Microcerculus bambla,1,1,1
Microcerculus marginatus,1,1,1
Microcerculus philomela,1,1,1
Microcerculus ustulatus,1,1,1
Microchera albocoronata,1,1,1
Micromonacha lanceolata,1,1,1
Micropygia schomburgkii,1,1,1
Microrhopias quixensis,1,1,1
Microspingus cabanisi,1,1,1
Microspingus cinereus,"3, 4, 1",1,1
Microspingus erythrophrys,1,1,1
Microspingus lateralis,1,1,1
Microspingus melanoleucus,1,1,1
Microspingus torquatus,1,1,1
Microspingus trifasciatus,1,1,1
Microstilbon burmeisteri,1,1,1
Microxenops milleri,1,1,1
Milvago chimachima,1,1,1
Mimus gilvus,1,"1, 3",1
Mimus longicaudatus,1,1,1
Mimus polyglottos,1,1,"1, 3"
Mimus saturninus,1,1,1
Mimus triurus,1,1,1
Mionectes galbinus,1,1,1
Mionectes macconnelli,1,1,1
Mionectes oleagineus,1,1,1
Mionectes olivaceus,1,1,1
Mionectes roraimae,1,1,1
Mionectes rufiventris,1,1,1
Mionectes striaticollis,1,1,1
Mitrephanes olivaceus,1,1,1
Mitrephanes phaeocercus,1,1,1
Mitrospingus cassinii,1,1,1
Mitrospingus oleagineus,1,1,1
Mitu mitu,5,1,1
Mitu salvini,1,1,1
Mitu tomentosum,1,1,1
Mitu tuberosum,1,1,1
Mniotilta varia,1,1,3
Molothrus aeneus,1,1,"1, 2"
Molothrus ater,1,1,"1, 3"
Molothrus bonariensis,1,1,1
Molothrus oryzivorus,1,1,1
Molothrus rufoaxillaris,1,1,1
Momotus aequatorialis,1,1,1
Momotus coeruliceps,1,1,1
Momotus lessonii,1,1,1
Momotus mexicanus,1,1,1
Momotus momota,1,1,1
Momotus subrufescens,1,1,1
Monasa atra,1,1,1
Monasa flavirostris,1,1,1
Monasa morphoeus,1,1,1
Monasa nigrifrons,1,1,1
Morococcyx erythropygus,1,1,1
Morphnarchus princeps,1,1,1
Morphnus guianensis,1,1,1
Muscigralla brevicauda,1,1,1
Muscipipra vetula,1,1,1
Muscisaxicola albilora,1,1,3
Muscisaxicola capistratus,1,1,3
Muscisaxicola cinereus,1,1,3
Muscisaxicola flavinucha,1,1,3
Muscisaxicola fluviatilis,1,1,1
Muscisaxicola griseus,1,1,1
Muscisaxicola juninensis,1,1,1
Muscisaxicola maculirostris,1,1,1
Muscisaxicola occipitalis,1,1,1
Myadestes coloratus,"1, 3",1,1
Myadestes melanops,1,1,1
Myadestes occidentalis,1,1,1
Myadestes ralloides,1,1,1
Myadestes unicolor,1,1,1
Mycteria americana,1,1,1
Myiarchus apicalis,1,1,1
Myiarchus cephalotes,1,1,1
Myiarchus cinerascens,1,1,"4, 2, 3"
Myiarchus crinitus,1,1,"3, 1, 4"
Myiarchus ferox,1,1,1
Myiarchus nuttingi,1,1,1
Myiarchus panamensis,1,1,1
Myiarchus phaeocephalus,1,1,1
Myiarchus swainsoni,1,1,"2, 3, 1"
Myiarchus tuberculifer,1,1,1
Myiarchus tyrannulus,1,1,"1, 2"
Myiarchus venezuelensis,1,1,1
Myiarchus yucatanensis,1,1,1
Myiobius atricaudus,1,1,1
Myiobius barbatus,1,1,1
Myiobius sulphureipygius,1,1,1
Myiobius villosus,1,1,1
Myioborus castaneocapilla,1,1,1
Myioborus melanocephalus,1,1,1
Myioborus pictus,1,1,1
Myioborus torquatus,1,1,1
Myiodynastes bairdii,1,1,1
Myiodynastes chrysocephalus,1,1,1
Myiodynastes hemichrysus,1,1,1
Myiodynastes luteiventris,1,1,"2, 3, 4"
Myiodynastes maculatus,1,1,"2, 4, 1"
Myiodynastes solitarius,1,1,"2, 3, 1"
Myiopagis caniceps,1,1,1
Myiopagis cinerea,1,1,1
Myiopagis flavivertex,1,1,1
Myiopagis gaimardii,1,1,1
Myiopagis olallai,1,1,1
Myiopagis parambae,1,1,1
Myiopagis subplacens,1,1,1
Myiopagis viridicata,1,1,1
Myiophobus crypterythrus,1,1,1
Myiophobus cryptoxanthus,1,1,1
Myiophobus fasciatus,1,1,1
Myiophobus flavicans,1,1,1
Myiophobus inornatus,1,1,1
Myiophobus phoenicomitra,1,1,1
Myiophobus roraimae,1,1,1
Myiopsitta monachus,1,"1, 3",1
Myiornis albiventris,1,1,1
Myiornis atricapillus,1,1,1
Myiornis auricularis,1,1,1
Myiornis ecaudatus,1,1,1
Myiotheretes fumigatus,1,1,1
Myiotheretes fuscorufus,1,1,1
Myiotheretes striaticollis,1,1,1
Myiothlypis bivittata,1,1,1
Myiothlypis chlorophrys,1,1,1
Myiothlypis chrysogaster,1,1,1
Myiothlypis cinereicollis,1,1,1
Myiothlypis coronata,1,1,1
Myiothlypis euophrys,1,1,1
Myiothlypis flaveola,1,1,1
Myiothlypis fraseri,1,1,1
Myiothlypis fulvicauda,1,1,1
Myiothlypis leucoblephara,1,1,1
Myiothlypis leucophrys,1,1,1
Myiothlypis luteoviridis,1,1,1
Myiothlypis mesoleuca,1,1,1
Myiothlypis nigrocristata,1,1,1
Myiothlypis rivularis,1,1,1
Myiothlypis roraimae,1,1,1
Myiothlypis signata,1,1,1
Myiothlypis striaticeps,1,1,1
Myiotriccus ornatus,1,1,1
Myiotriccus phoenicurus,1,1,1
Myiozetetes cayanensis,1,1,1
Myiozetetes granadensis,1,1,1
Myiozetetes luteiventris,1,1,1
Myiozetetes similis,1,1,1
Myornis senilis,1,1,1
Myrmeciza longipes,1,1,1
Myrmelastes brunneiceps,1,1,1
Myrmelastes caurensis,1,1,1
Myrmelastes humaythae,1,1,1
Myrmelastes hyperythrus,1,1,1
Myrmelastes leucostigma,1,1,1
Myrmelastes rufifacies,1,1,1
Myrmelastes saturatus,1,1,1
Myrmelastes schistaceus,"1, 3",1,1
Myrmia micrura,1,1,1
Myrmoborus leucophrys,"1, 3",1,1
Myrmoborus lophotes,1,1,1
Myrmoborus lugubris,1,1,1
Myrmoborus melanurus,1,1,1
Myrmoborus myotherinus,1,1,1
Myrmochanes hemileucus,1,1,1
Myrmoderus eowilsoni,1,1,1
Myrmoderus ferrugineus,1,1,1
Myrmoderus loricatus,1,1,1
Myrmoderus ruficauda,"4, 3, 1",1,1
Myrmoderus squamosus,1,1,1
Myrmophylax atrothorax,1,1,1
Myrmorchilus strigilatus,1,1,1
Myrmornis stictoptera,1,1,1
Myrmornis torquata,1,1,1
Myrmothera campanisona,1,1,1
Myrmothera simplex,1,1,1
Myrmotherula ambigua,1,1,1
Myrmotherula assimilis,1,1,1
Myrmotherula axillaris,1,1,1
Myrmotherula behni,1,1,1
Myrmotherula brachyura,1,1,1
Myrmotherula cherriei,1,1,1
Myrmotherula grisea,1,1,1
Myrmotherula ignota,1,1,1
Myrmotherula iheringi,1,1,1
Myrmotherula klagesi,"3, 1",1,1
Myrmotherula longicauda,1,1,1
Myrmotherula longipennis,1,1,1
Myrmotherula luctuosa,1,1,1
Myrmotherula menetriesii,1,1,1
Myrmotherula minor,"1, 3, 4",1,1
Myrmotherula multostriata,1,1,1
Myrmotherula pacifica,1,1,1
Myrmotherula schisticolor,1,1,1
Myrmotherula sclateri,1,1,1
Myrmotherula snowi,"1, 4",1,1
Myrmotherula sunensis,1,1,1
Myrmotherula surinamensis,1,1,1
Myrmotherula unicolor,"3, 1",1,1
Myrmotherula urosticta,"4, 1, 3",1,1
Myrtis fanny,1,1,1
Nannopsittaca dachilleae,1,1,1
Nannopsittaca panychlora,1,1,1
Nannopterum auritus,1,1,"1, 3"
Nannopterum brasilianus,1,1,1
Nasica longirostris,1,1,1
Nemosia pileata,1,1,1
Nemosia rourei,"4, 3, 1",1,1
Neochen jubata,1,1,1
Neocrex colombiana,1,1,1
Neocrex erythrops,1,1,1
Neoctantes niger,"1, 3",1,1
Neomorphus geoffroyi,"4, 5, 1",1,1
Neomorphus pucheranii,1,1,1
Neomorphus radiolosus,1,1,1
Neomorphus rufipennis,1,1,1
Neopelma aurifrons,"4, 1",1,1
Neopelma chrysocephalum,1,1,1
Neopelma chrysolophum,1,1,1
Neopelma pallescens,1,1,1
Neopelma sulphureiventer,1,1,1
Neopipo cinnamomea,1,1,1
Neothraupis fasciata,1,1,1
Nephelomyias ochraceiventris,1,1,1
Nephelomyias pulcher,1,1,1
Nephelornis oneilli,1,1,1
Netta erythrophthalma,1,1,1
Netta peposaca,1,1,1
Nomonyx dominicus,1,1,1
Nonnula amaurocephala,1,1,1
Nonnula brunnea,1,1,1
Nonnula frontalis,1,1,1
Nonnula rubecula,1,1,1
Nonnula ruficapilla,1,1,1
Nonnula sclateri,1,1,1
Notharchus hyperrhynchus,1,1,1
Notharchus macrorhynchos,1,1,1
Notharchus ordii,1,1,1
Notharchus pectoralis,1,1,1
Notharchus subtectus,1,1,1
Notharchus swainsoni,1,1,1
Notharchus tectus,1,1,1
Nothocercus bonapartei,1,1,1
Nothocercus julius,1,1,1
Nothocercus nigrocapillus,1,1,1
Nothocrax urumutum,1,1,1
Nothoprocta curvirostris,1,1,1
Nothoprocta ornata,1,1,1
Nothoprocta taczanowskii,3,1,1
Nothura boraquira,1,1,1
Nothura darwinii,1,1,1
Nothura maculosa,1,1,1
Nothura minor,"1, 4",1,1
Numenius americanus,1,1,3
Numenius borealis,4,1,3
Numenius phaeopus,1,1,3
Nyctanassa violacea,1,1,"1, 3"
Nyctibius aethereus,1,1,1
Nyctibius grandis,1,1,1
Nyctibius griseus,1,1,1
Nyctibius jamaicensis,1,1,1
Nyctibius leucopterus,"1, 3",1,1
Nyctibius maculosus,1,1,1
Nycticorax nycticorax,1,1,"3, 1"
Nycticryphes semicollaris,1,1,1
Nyctidromus albicollis,1,1,1
Nyctidromus anthonyi,1,1,1
Nyctiphrynus ocellatus,1,1,1
Nyctiphrynus rosenbergi,1,1,1
Nyctiphrynus yucatanicus,1,1,1
Nyctipolus hirundinaceus,1,1,1
Nyctipolus nigrescens,1,1,1
Nyctiprogne leucopyga,1,1,1
Nystactes noanamae,"3, 1",1,1
Nystactes tamatia,1,1,1
Nystalus chacuru,1,1,1
Nystalus maculatus,1,1,1
Nystalus radiatus,1,1,1
Nystalus striolatus,1,1,1
Oceanites gracilis,1,1,1
Oceanites oceanicus,1,1,3
Ochthoeca cinnamomeiventris,1,1,1
Ochthoeca fumicolor,1,1,1
Ochthoeca nigrita,1,1,1
Ochthoeca oenanthoides,1,1,1
Ochthoeca rufipectoralis,1,1,1
Ochthoeca thoracica,1,1,1
Ochthornis littoralis,1,1,1
Ocreatus underwoodii,1,1,1
Odontophorus balliviani,1,1,1
Odontophorus capueira,1,1,1
Odontophorus dialeucos,1,1,1
Odontophorus erythrops,1,1,1
Odontophorus gujanensis,1,1,1
Odontophorus guttatus,1,1,1
Odontophorus leucolaemus,1,1,1
Odontophorus melanotis,1,1,1
Odontophorus speciosus,1,1,1
Odontophorus stellatus,1,1,1
Odontorchilus branickii,1,1,1
Odontorchilus cinereus,1,1,1
Ognorhynchus icterotis,"1, 4",1,1
Oncostoma cinereigulare,1,1,1
Oncostoma olivaceum,1,1,1
Oneillornis lunulatus,1,1,1
Oneillornis salvini,1,1,1
Onychoprion anaethetus,1,1,"2, 3"
Onychoprion fuscatus,1,1,"2, 3"
Onychorhynchus coronatus,1,1,1
Onychorhynchus mexicanus,1,1,1
Onychorhynchus occidentalis,"3, 4, 1",1,1
Onychorhynchus swainsoni,"1, 3",1,1
Opisthocomus hoazin,1,1,1
Opisthoprora euryptera,1,1,1
Oporornis agilis,1,1,3
Orchesticus abeillei,1,1,1
Oreonympha nobilis,1,1,1
Oreophasis derbianus,"1, 3",1,1
Oreopholus ruficollis,1,1,3
Oreopsar bolivianus,1,1,1
Oreoscoptes montanus,1,1,3
Oreothlypis gutturalis,1,1,1
Oreothlypis superciliosa,1,1,1
Oreothraupis arremonops,1,1,1
Oreotrochilus melanogaster,1,1,1
Oreotrochilus stolzmanni,1,1,1
Oriturus superciliosus,1,1,1
Ornithion brunneicapillus,1,1,1
Ornithion inerme,1,1,1
Ornithion semiflavum,1,1,1
Orochelidon flavipes,1,1,1
Orochelidon murina,1,1,1
Ortalis araucuan,1,1,1
Ortalis canicollis,1,1,1
Ortalis cinereiceps,1,1,1
Ortalis columbiana,1,1,1
Ortalis erythroptera,1,1,1
Ortalis garrula,1,1,1
Ortalis guttata,1,1,1
Ortalis leucogastra,1,1,1
Ortalis motmot,1,1,1
Ortalis poliocephala,1,1,1
Ortalis ruficauda,1,1,1
Ortalis squamata,1,1,1
Ortalis superciliaris,"1, 3",1,1
Ortalis vetula,1,1,1
Orthogonys chloricterus,1,1,1
Orthopsittaca manilatus,1,1,1
Oxyruncus cristatus,1,1,1
Oxyura ferruginea,1,1,1
Oxyura jamaicensis,1,1,"3, 1"
Oxyura vittata,1,1,3
Pachyptila belcheri,1,1,1
Pachyptila desolata,1,1,1
Pachyramphus aglaiae,1,1,"2, 1"
Pachyramphus albogriseus,1,1,1
Pachyramphus castaneus,1,1,1
Pachyramphus cinnamomeus,1,1,1
Pachyramphus griseigularis,1,1,1
Pachyramphus homochrous,1,1,1
Pachyramphus major,1,1,1
Pachyramphus marginatus,1,1,1
Pachyramphus minor,1,1,1
Pachyramphus polychopterus,1,1,1
Pachyramphus rufus,1,1,1
Pachyramphus spodiurus,1,1,1
Pachyramphus surinamus,1,1,1
Pachyramphus validus,1,1,1
Pachyramphus versicolor,1,1,1
Pachyramphus viridis,1,1,1
Pachyramphus xanthogenys,1,1,1
Pachysylvia aurantiifrons,1,1,1
Pachysylvia decurtata,1,1,1
Pachysylvia hypoxantha,1,1,1
Pachysylvia muscicapina,1,1,1
Pachysylvia semibrunnea,1,1,1
Pandion haliaetus,1,1,"4, 3, 1"
Panterpe insignis,1,1,1
Panyptila cayennensis,1,1,1
Panyptila sanctihieronymi,1,1,1
Parabuteo leucorrhous,1,1,1
Parabuteo unicinctus,1,1,1
Paraclaravis geoffroyi,"4, 1",1,1
Paraclaravis mondetoura,1,1,1
Pardirallus maculatus,1,1,1
Pardirallus nigricans,1,1,1
Pardirallus sanguinolentus,1,1,1
Parkerthraustes humeralis,1,1,1
Parkesia motacilla,1,1,"3, 4"
Parkesia noveboracensis,1,1,"4, 3"
Paroaria baeri,1,1,1
Paroaria capitata,1,1,1
Paroaria coronata,1,1,1
Paroaria dominicana,1,1,1
Paroaria gularis,1,1,1
Paroaria nigrogenis,1,1,1
Passer domesticus,1,3,1
Passerculus sandwichensis,1,1,"3, 1"
Passerina caerulea,1,1,"3, 1, 2"
Passerina ciris,1,1,"3, 4"
Passerina cyanea,1,1,"4, 3"
Passerina rositae,1,1,1
Passerina versicolor,1,1,"2, 1, 3"
Patagioenas albilinea,1,1,1
Patagioenas albipennis,1,1,1
Patagioenas cayennensis,1,1,1
Patagioenas corensis,1,1,1
Patagioenas fasciata,1,1,1
Patagioenas flavirostris,1,1,1
Patagioenas goodsoni,1,1,1
Patagioenas leucocephala,1,1,1
Patagioenas maculosa,1,1,1
Patagioenas nigrirostris,1,1,1
Patagioenas picazuro,1,1,1
Patagioenas plumbea,1,1,1
Patagioenas speciosa,"1, 3",1,1
Patagioenas subvinacea,1,1,1
Patagona gigas,1,1,1
Pauxi koepckeae,1,1,1
Pauxi pauxi,"1, 3",1,1
Pauxi unicornis,1,1,1
Pelecanus erythrorhynchos,1,1,3
Pelecanus occidentalis,1,1,"3, 1"
Pelecanus thagus,1,1,3
Penelope argyrotis,1,1,1
Penelope barbata,3,1,1
Penelope jacquacu,1,1,1
Penelope jacucaca,1,1,1
Penelope marail,1,1,1
Penelope montagnii,1,1,1
Penelope obscura,1,1,1
Penelope ochrogaster,1,1,1
Penelope ortoni,1,1,1
Penelope pileata,1,1,1
Penelope purpurascens,1,1,1
Penelope superciliaris,1,1,1
Penelopina nigra,1,1,1
Percnostola arenarum,1,1,1
Percnostola rufifrons,1,1,1
Perissocephalus tricolor,1,1,1
Petrochelidon fulva,1,1,"1, 4, 3"
Petrochelidon pyrrhonota,1,1,"2, 4, 3"
Petrochelidon rufocollaris,1,1,1
Peucaea botterii,1,1,1
Peucaea cassinii,1,1,"1, 3"
Peucaea mystacalis,1,1,1
Peucaea ruficauda,1,1,1
Peucedramus taeniatus,1,1,1
Pezopetes capitalis,1,1,1
Phacellodomus erythrophthalmus,1,1,1
Phacellodomus ferrugineigula,1,1,1
Phacellodomus ruber,1,1,1
Phacellodomus rufifrons,1,1,1
Phacellodomus striaticollis,1,1,1
Phaenostictus mcleannani,1,1,1
Phaeomyias murina,1,1,1
Phaeomyias tumbezana,1,1,1
Phaethon aethereus,1,1,"3, 2"
Phaethon lepturus,1,1,3
Phaethornis aethopygus,1,1,1
Phaethornis anthophilus,1,1,1
Phaethornis atrimentalis,1,1,1
Phaethornis augusti,1,1,1
Phaethornis baroni,1,1,1
Phaethornis bourcieri,1,1,1
Phaethornis eurynome,1,1,1
Phaethornis griseogularis,1,1,1
Phaethornis guy,1,1,1
Phaethornis hispidus,1,1,1
Phaethornis idaliae,1,1,1
Phaethornis koepckeae,1,1,1
Phaethornis longirostris,1,1,1
Phaethornis longuemareus,1,1,1
Phaethornis major,1,1,1
Phaethornis malaris,"3, 1",1,1
Phaethornis nattereri,"1, 3",1,1
Phaethornis philippii,1,1,1
Phaethornis pretrei,1,1,1
Phaethornis ruber,1,1,1
Phaethornis rupurumii,1,1,1
Phaethornis squalidus,1,1,1
Phaethornis striigularis,1,1,1
Phaethornis stuarti,1,1,1
Phaethornis subochraceus,1,1,1
Phaethornis superciliosus,1,1,1
Phaethornis syrmatophorus,1,1,1
Phaethornis yaruqui,1,1,1
Phaetusa simplex,"5, 1",1,1
Phainopepla nitens,1,1,"3, 1"
Phainoptila melanoxantha,1,1,1
Phalaenoptilus nuttallii,1,1,1
Phalaropus lobatus,1,1,3
Phalcoboenus carunculatus,1,1,1
Phalcoboenus chimango,1,1,"3, 1"
Phalcoboenus megalopterus,1,1,1
Pharomachrus antisianus,1,1,1
Pharomachrus auriceps,1,1,1
Pharomachrus mocinno,1,1,1
Pharomachrus pavoninus,1,1,1
Pheucticus aureoventris,1,1,"1, 3"
Pheucticus chrysogaster,1,1,1
Pheucticus chrysopeplus,1,1,1
Pheucticus ludovicianus,1,1,"3, 4"
Pheucticus melanocephalus,1,1,"1, 3"
